Date,기준금리,주택건설인허가실적,전산업생산지수,주택담보대출금리,건설업_업황전망,건설업_매출전망,건설업_자금사전전망,소비자물가지수,생산자물가지수,미분양주택현황,실업률,고용률,M2,CD금리,국고채(3년),국고채(10년),국고채(30년),회사채(3년),KOSPI_종가,KOSDAQ_종가,국채 거래량,회사채 거래량,GDP,주택전세가격지수,환율,주택 거래량,경제심리지수,주택매매가격지수
13-Jan,2.75,23952,62.2697,4.55,56,68,62,92.728,104.96,75180,3.4,57.7,1841128,2.86,2.75,3.05,3.31,3.2,1961.94,503.67,121500624,573916,0.9,82.7,1066.54,39477,94.4,70.462
13-Feb,2.75,45543,61.6258,4.51,52,76,77,93.038,105.68,73386,3.9,57.5,1857135,2.83,2.7,3.04,3.3,3.06,2026.49,535.87,99040466,422222,0.9,82.9,1086.06,48592,96.2,70.421
13-Mar,2.75,75594,76.0634,4.46,58,68,72,92.952,105.26,70633,3.5,58.7,1862406,2.81,2.6,2.91,3.17,2.95,2004.89,555.02,104760077,481596,0.9,83.2,1103.81,62934,98.3,70.389
13-Apr,2.75,106509,80.5564,4.4,61,71,74,92.823,104.93,70201,3.2,60,1867726,2.8,2.55,2.84,3.15,2.91,1963.95,563.87,110564496,335381,1.2,83.6,1121.1,77082,97.9,70.391
13-May,2.5,142055,81.3058,4.33,58,74,70,92.823,104.57,66896,3,60.6,1870290,2.72,2.59,2.9,3.17,2.96,2001.05,577.87,117919540,531677,1.2,83.8,1112.1,89599,97.2,70.381
13-Jun,2.5,180263,94.5794,4.26,56,72,72,92.71,104.55,65072,3.1,60.8,1884193,2.69,2.87,3.31,3.55,3.24,1863.32,519.06,104371561,583018,1.2,84,1136.59,119495,96.3,70.353
13-Jul,2.5,216518,78.2858,4.2,63,75,77,92.909,104.53,67672,3.1,60.7,1890729,2.68,2.91,3.47,3.77,3.38,1914.03,554.31,102837076,542626,0.9,84.2,1126.15,55342,95.6,70.351
13-Aug,2.5,248497,76.3571,4.16,56,75,75,93.238,104.82,68119,3,60.2,1888658,2.66,2.94,3.61,3.91,3.33,1926.36,516.74,107601520,704174,0.9,84.6,1116.16,53390,95.3,70.323
13-Sep,2.5,282366,81.0161,4.13,60,77,76,93.419,104.71,66110,2.7,60.6,1903187,2.66,2.9,3.53,3.84,3.29,1996.96,534.89,91711124,552686,0.9,85,1084.79,55564,96.1,70.36
13-Oct,2.5,315714,85.5286,4.1,54,72,71,93.134,104.34,64433,2.7,60.8,1908558,2.66,2.83,3.44,3.76,3.25,2030.09,532.44,102088874,885785,0.9,85.6,1065.74,89955,97.6,70.503
13-Nov,2.5,355971,90.006,4.07,58,73,66,93.116,104.13,63709,2.6,60.7,1923339,2.65,2.936,3.584,3.909,3.366,2044.87,517.06,121417911,523006,0.9,86,1062.69,85975,97.8,70.626
13-Dec,2.5,440116,105.5771,4.04,61,74,68,93.229,104.37,61091,3,59.4,1932026,2.65,2.941,3.653,3.945,3.36,2011.34,499.99,102695589,684813,0.9,86.4,1056.06,99060,97.7,70.762
14-Jan,2.5,24602,69.5348,4.03,60,67,70,93.73,104.65,58576,3.4,58.8,1937046,2.65,2.892,3.647,3.961,3.319,1941.15,515.2,90188732,447012,0.9,86.9,1065.8,73570,100.2,70.842
14-Feb,2.5,54309,65.6142,4.01,63,73,79,93.98,104.78,52391,4.5,58.9,1954341,2.65,2.854,3.522,3.839,3.28,1979.99,528.96,89081811,286373,0.9,87.3,1070.97,86667,102.4,70.957
14-Mar,2.5,93278,78.0081,3.99,63,79,81,94.153,104.74,48167,3.9,59.7,1964954,2.65,2.874,3.543,3.846,3.303,1985.61,541.58,90221417,360087,0.9,87.7,1070.69,90791,100.8,71.157
14-Apr,2.5,135984,83.0545,3.97,64,76,73,94.214,104.58,45573,3.8,60.9,1970362,2.65,2.875,3.54,3.826,3.303,1961.79,559.34,94595287,402678,0.9,87.9,1042.75,90706,102.1,71.304
14-May,2.5,177536,80.3967,3.95,58,67,73,94.369,104.56,49026,3.5,61.1,1982391,2.65,2.838,3.402,3.668,3.264,1994.96,546.53,103047016,411157,0.9,87.9,1023.99,76264,100.6,71.351
14-Jun,2.5,219963,93.2507,3.92,67,76,78,94.248,104.61,50257,3.5,61.2,1999376,2.65,2.746,3.286,3.519,3.168,2002.21,537.06,128499496,374819,0.9,88,1018.7,76001,97.2,71.401
14-Jul,2.5,264535,77.6544,3.9,61,74,74,94.386,104.69,51287,3.4,61.4,2013935,2.65,2.558,3.056,3.314,2.97,2076.12,536.32,135781928,323335,0.3,88.1,1020.6,85012,95.3,71.466
14-Aug,2.25,313602,75.8052,3.87,54,70,72,94.551,104.58,44784,3.3,61.1,2031777,2.52,2.54,3.086,3.351,2.926,2068.54,570.2,116412757,253855,0.3,88.3,1024.61,85956,97.5,71.562
14-Sep,2.25,351328,77.7513,3.82,63,73,77,94.49,104.2,39168,3.1,61.1,2037601,2.35,2.405,3.012,3.256,2.786,2020.09,573.22,116103536,446316,0.3,88.5,1035.8,93313,100.2,71.758
14-Oct,2,396803,80.6642,3.75,56,79,77,94.205,103.47,40092,3.2,61.1,2051150,2.21,2.239,2.769,3.023,2.595,1964.43,558.7,135312078,336598,0.5,88.8,1060.91,114923,95.5,71.97
14-Nov,2,445984,81.6582,3.69,56,66,69,94.015,103.15,39703,3,61.1,2083254,2.14,2.138,2.692,2.979,2.466,1980.78,545.08,134476468,891610,0.5,89.1,1097.11,95776,97.1,72.116
14-Dec,2,515251,102.4852,3.63,59,67,70,94.006,102.14,40379,3.3,59.7,2088730,2.13,2.143,2.681,2.975,2.46,1915.59,542.97,116576142,439029,0.5,89.3,1103.6,102316,96.2,72.249
15-Jan,2,33271,69.4049,3.59,60,69,78,94.643,100.89,36985,3.7,59,2092224,2.13,2.039,2.415,2.7,2.356,1949.26,591.58,144300454,297306,0.8,89.6,1088.48,90006,97.8,72.345
15-Feb,2,66572,67.7543,3.56,65,77,82,94.587,100.96,33813,4.5,59.1,2109892,2.12,2.024,2.346,2.601,2.3,1985.8,624.56,122376231,325573,0.8,89.9,1098.38,85517,102.4,72.509
15-Mar,1.75,118772,78.7655,3.48,61,77,74,94.596,100.84,28897,4,59.8,2127888,1.95,1.865,2.276,2.548,2.128,2041.03,650.49,165637065,384205,0.8,90.3,1113.05,116022,100.7,72.809
15-Apr,1.75,170117,78.1957,3.34,74,72,82,94.625,100.8,28093,3.9,60.6,2148115,1.81,1.739,2.177,2.457,1.988,2127.17,689.01,159989906,249200,0.5,90.8,1085.9,121540,103,73.169
15-May,1.75,226978,78.993,3.31,69,70,77,94.89,100.87,28142,3.7,61.2,2166741,1.8,1.875,2.49,2.794,2.115,2114.8,711.39,134827363,161630,0.5,91.2,1093.03,108948,101.5,73.441
15-Jun,1.5,300080,96.9487,3.3,70,76,79,94.909,100.82,34068,3.8,61.2,2179561,1.7,1.773,2.468,2.763,2.012,2074.2,742.27,134675039,309199,0.5,91.7,1112.44,107956,91.3,73.778
15-Jul,1.5,382916,80.1522,3.25,66,76,84,95.08,100.45,33177,3.6,61.3,2200511,1.65,1.777,2.45,2.739,2.001,2030.16,725.06,131818058,266933,1.5,92,1146.16,114610,95.1,74.092
15-Aug,1.5,452185,80.5394,3.21,69,79,82,95.213,99.83,31698,3.4,60.9,2218660,1.64,1.735,2.308,2.58,1.98,1941.49,687.11,133313032,148550,1.5,92.3,1180.04,93744,96.5,74.381
15-Sep,1.5,540140,90.6777,3.16,71,79,86,94.966,99.39,32524,3.2,61.1,2230001,1.6,1.651,2.216,2.466,1.946,1962.81,678.48,148594513,338447,1.5,92.7,1185.06,88082,96.1,74.731
15-Oct,1.5,604340,86.0841,3.12,73,86,85,94.966,98.71,32221,3.1,61.2,2232432,1.58,1.627,2.088,2.271,1.962,2029.47,683.63,160644753,354016,0.7,93,1144.8,103565,96.8,74.984
15-Nov,1.5,667163,87.9084,3.09,71,81,83,94.786,98.32,49724,3,61,2242848,1.59,1.752,2.254,2.402,2.118,1991.97,688.38,159081319,265954,0.7,93.4,1153.35,101400,96.5,75.304
15-Dec,1.5,765328,118.4474,3.08,64,81,80,95.07,98.09,61512,3.2,60.1,2246070,1.67,1.719,2.181,2.3,2.143,1961.31,682.35,146733982,187279,0.7,93.7,1173.2,94474,93.4,75.441
16-Jan,1.5,47536,74.4355,3.08,58,68,70,95.232,97.56,60606,3.7,59,2261356,1.67,1.628,2.025,2.157,2.091,1912.06,682.8,173587928,208369,0.3,93.8,1203.79,75991,93.4,75.504
16-Feb,1.5,101259,73.6827,3.07,69,81,82,95.64,97.56,55103,4.9,58.9,2285314,1.64,1.474,1.826,1.946,1.95,1916.66,651.62,176739744,167912,0.3,93.9,1220.45,66800,92.1,75.558
16-Mar,1.5,163009,94.9845,3.07,62,75,77,95.393,97.5,53845,4.2,59.7,2294545,1.63,1.498,1.854,1.942,1.979,1995.85,688.38,231715367,297447,0.3,94,1182.15,85456,93.8,75.584
16-Apr,1.5,222684,88.7922,3.06,63,74,81,95.573,97.74,53816,3.9,60.5,2299081,1.61,1.468,1.81,1.92,1.94,1994.15,699.77,178644630,279931,1.2,94.1,1146.71,87499,96.6,75.615
16-May,1.5,275397,92.1681,3.05,67,80,78,95.63,97.86,55456,3.6,61.1,2312801,1.58,1.455,1.787,1.912,1.91,1983.4,698.45,197618268,323738,1.2,94.2,1174.58,91324,94.8,75.665
16-Jun,1.25,355309,113.9818,3.02,72,75,76,95.611,98.09,59999,3.6,61.3,2334256,1.43,1.334,1.617,1.739,1.789,1970.35,675.09,266922534,384270,1.2,94.3,1168.36,97897,94.4,75.734
16-Jul,1.25,416696,93.5246,2.99,64,76,80,95.431,97.98,63127,3.5,61.3,2352245,1.36,1.218,1.401,1.508,1.65,2016.19,706.24,510372015,353132,0.4,94.4,1141.7,99810,95.7,75.832
16-Aug,1.25,471528,96.4623,2.96,65,71,77,95.677,98.07,62562,3.6,61.2,2377323,1.35,1.238,1.417,1.503,1.645,2034.65,663.69,509649513,331496,0.4,94.5,1111.42,104702,97.7,75.927
16-Sep,1.25,519552,99.1526,2.94,75,80,82,96.247,98.3,60700,3.5,61.1,2383041,1.34,1.312,1.512,1.55,1.704,2043.63,681.21,300226106,242913,0.4,94.6,1106.77,98535,97.2,76.031
16-Oct,1.25,571990,101.7643,2.93,71,84,79,96.379,98.59,57709,3.3,61.2,2391059,1.35,1.361,1.596,1.649,1.781,2008.19,624.68,328591314,188607,0.6,94.7,1127.65,116878,95.9,76.215
16-Nov,1.25,636823,111.1068,2.93,70,85,85,96.237,99.03,57582,3.1,61.2,2406394,1.42,1.609,1.965,2.057,2.021,1983.48,596.11,197329372,222282,0.6,94.8,1163.22,111218,95.4,76.407
16-Dec,1.25,726048,134.4433,2.93,62,78,77,96.342,99.9,56413,3.2,60.2,2414041,1.54,1.692,2.159,2.187,2.162,2026.46,631.44,113047415,220216,0.6,94.9,1183.3,98637,93.9,76.463
17-Jan,1.25,39898,85.2952,2.94,63,76,77,97.366,101.35,59313,3.7,59.1,2417808,1.5,1.643,2.111,2.179,2.104,2067.57,616.13,163304503,220469,1,94.9,1182.24,74852,95.8,76.481
17-Feb,1.25,89480,91.038,2.96,67,80,80,97.632,101.74,61063,4.9,59.3,2420286,1.49,1.665,2.163,2.22,2.13,2091.64,612.2,236407145,293628,1,95,1143.36,74768,97.7,76.489
17-Mar,1.25,141100,114.4926,2.97,68,82,77,97.565,101.7,61679,4.1,60.3,2436995,1.48,1.709,2.221,2.31,2.208,2160.23,619.28,285080135,367957,1,95,1133.95,93876,100,76.509
17-Apr,1.25,184668,106.3692,2.97,75,84,88,97.442,101.48,60313,4.2,61,2450221,1.43,1.678,2.182,2.333,2.195,2205.44,628.24,226836285,319779,0.8,95.1,1133.57,93756,99.6,76.538
17-May,1.25,238179,107.4978,2.98,75,87,82,97.546,101.21,56859,3.6,61.5,2454387,1.39,1.69,2.257,2.421,2.216,2347.38,652.04,202808634,470570,0.8,95.2,1124.65,107308,100.6,76.578
17-Jun,1.25,297787,124.5689,2.98,76,85,79,97.338,100.81,57108,3.8,61.5,2470861,1.38,1.673,2.165,2.279,2.208,2391.79,669.04,240098272,355127,0.8,95.2,1131.62,120558,99.8,76.711
17-Jul,1.25,347967,106.254,2.99,70,91,77,97.499,100.89,54282,3.4,61.6,2472110,1.39,1.74,2.252,2.316,2.278,2402.71,650.47,272526421,268294,1.4,95.3,1133.13,130161,99.1,76.891
17-Aug,1.25,396469,105.0947,2.99,70,82,79,98.058,101.35,53130,3.6,61.2,2485630,1.39,1.78,2.287,2.358,2.32,2363.19,657.83,236504451,522946,1.4,95.4,1131.4,146281,100.1,77.074
17-Sep,1.25,454957,117.3329,3,73,81,83,98.172,102.03,54420,3.3,61.4,2492388,1.38,1.785,2.286,2.318,2.333,2394.47,652.82,198041548,309322,1.4,95.4,1132.93,122921,98.9,77.139
17-Oct,1.25,502266,101.4309,3.01,69,77,79,98.077,102.14,55707,3.2,61.4,2504594,1.38,2.026,2.455,2.39,2.574,2523.43,694.2,107261773,293801,-0.3,95.5,1129.48,98934,102,77.226
17-Nov,1.5,552558,112.9278,3.02,76,89,87,97.347,102.04,56647,3.1,61.4,2521786,1.45,2.15,2.54,2.504,2.709,2476.37,771.42,142245871,312987,-0.3,95.5,1102.82,116412,102,77.332
17-Dec,1.5,653441,136.2399,3.05,70,83,92,97.698,102.09,57330,3.3,60.4,2527641,1.66,2.1,2.472,2.414,2.649,2467.49,798.42,101575404,219791,-0.3,95.5,1085.95,114324,101.7,77.411
18-Jan,1.5,37696,98.8938,3.08,69,84,82,98.106,102.52,59104,3.7,59.5,2551196,1.66,2.19,2.626,2.544,2.722,2566.46,913.57,134448400,317017,1.3,95.5,1066.54,134312,99.4,77.556
18-Feb,1.5,81092,90.3058,3.1,75,86,85,98.855,102.95,60903,4.6,59.2,2570765,1.65,2.277,2.77,2.706,2.815,2427.36,857.06,180056721,217503,1.3,95.4,1080.7,113363,101,77.723
18-Mar,1.5,119571,108.4598,3.13,73,84,85,98.751,102.91,58004,4.5,60.2,2578362,1.65,2.271,2.708,2.68,2.831,2445.85,871.09,304183761,251666,1.3,95.2,1071.21,135730,97.8,77.917
18-Apr,1.5,166308,106.7211,3.15,70,83,83,98.931,103.04,59583,4.1,60.9,2590841,1.65,2.192,2.655,2.666,2.794,2515.38,875.95,203891687,257580,0.7,95.1,1068.05,101527,99.6,78.049
